NelsonLab Seed Packet Template Help,,,,,,
"This file will be used to upload data to the NelsonDB. FIELD NAMES CAN BE ADDED, BUT SHOULD BE DONE SPARINGLY",,,,,,
,,,,,,
Template Name: seed_packet_v0.2,,,,,,
Authored 07/01/2015,,,,,,
,,,,,,
DataBase Header Dictionary,,,,,,
,,,,,,
SeedPacket Template,For recording information about a seed packet.,,,,,
Template Header,Dependent,Required,Unique,Database Table,Database Field,Definition
Seed ID,1,1,0,lab_stockpacket,stock_id = Stock(seed_id).id,A unique ID in the format 08PN0023_001x. This is the ID that is printed on seed packets. MUST BE UNIQUE
Weight,0,0,0,lab_stockpacket,weight,The weight of the seed packet in grams. This weight can be approx and can include the envelope weight.
Number of Seeds,0,0,0,lab_stockpacket,num_seeds,The number of seeds in the seed packet. Can be approx or can be left exmpty.
Seed Packet Comments,0,0,0,lab_stockpacket,comments,Any additional comments about the seed packet.
,,,,,,
Location Name,0,1,1,lab_location,location_name,A descriptive unique location name. Example: Cold Seed Room. MUST BE UNIQUE
Building Name,0,0,0,lab_location,building_name,"The exact building name. Example: Plant Science, Weil Hall, or Emerson Hall"
Room,0,0,0,lab_location,room,The exact room number. Example: 303
Shelf,0,0,0,lab_location,shelf,"The shelf on which the seed packet is located. Example: 1, 2, 3"
Column,0,0,0,lab_location,column,"The column in which the seed packet is located. Example: A, B, C"
Box Name,0,0,0,lab_location,box_name,The exact box name in which the seed packet is located. Example: 08PN_box01
City,0,0,0,lab_locality,city,The city in which the stock packet is located.
State,0,0,0,lab_locality,state,The state in which the stock packet is located.
Country,0,0,0,lab_locality,country,The country in which the stock packet is located.
Zipcode,0,0,0,lab_locality,zipcode,The zipcode in which the stock packet is located.
Location Comments,0,0,0,lab_location,comments,Any additional comments about the location. 
